alici,step,inverter,olculen_aci
0,0,0,-4.32
0,100,0,-126.80
0,255,0,-157.50
0,0,1,175.68
0,200,1,28.40
1,0,0,-4.32
1,100,0,-126.80
1,255,0,-157.50
1,0,1,175.68
1,200,1,28.40
2,0,0,-4.32
2,100,0,-126.80
2,255,0,-157.50
2,0,1,175.68
2,200,1,28.40
3,0,0,-4.32
3,100,0,-126.80
3,255,0,-157.50
3,0,1,175.68
3,200,1,28.40
4,0,0,-4.32
4,100,0,-126.80
4,255,0,-157.50
4,0,1,175.68
4,200,1,28.40
5,0,0,-4.32
5,100,0,-126.80
5,255,0,-157.50
5,0,1,175.68
5,200,1,28.40
6,0,0,-4.32
6,100,0,-126.80
6,255,0,-157.50
6,0,1,175.68
6,200,1,28.40
